Statement,Header,Field Name,Field Value
Statement,Data,Title,Transaction History
Statement,Data,Period,"April 6, 2025 - April 6, 2026"
Statement,Data,WhenGenerated,"2026-04-07, 08:26:19 EDT"
Summary,Header,Field Name,Field Value
Summary,Data,Base Currency,USD
Summary,Data,Starting Cash,0.0
Summary,Data,Change,132541.748515
Summary,Data,Ending Cash,132541.748515
Transaction History,Header,Date,Account,Description,Transaction Type,Symbol,Quantity,Price,Price Currency,Gross Amount ,Commission,Net Amount
Transaction History,Data,2025-12-23,vpk2,NOVO-NORDISK A/S-SPONS ADR,Sell,NVO,-1387.0,52.35,USD,72609.45,-6.230242,72603.21975799999
Transaction History,Data,2025-12-23,vpk2,META(US30303M1027) Cash Dividend USD 0.525 per Share (Ordinary Dividend),Dividend,META,-,-,-,78.75,-,78.75
Transaction History,Data,2025-12-23,vpk2,META(US30303M1027) Cash Dividend USD 0.525 per Share - US Tax,Foreign Tax Withholding,META,-,-,-,-23.63,-,-23.63
Transaction History,Data,2025-12-22,vpk2,FISERV INC,Sell,FISV,-700.0,69.0,USD,48300.0,-3.6162,48296.3838
Transaction History,Data,2025-12-22,vpk2,LAMB WESTON HOLDINGS INC,Buy,LW,1000.0,43.33,USD,-43330.0,-5.0,-43335.0
Transaction History,Data,2025-12-15,vpk2,GOOG(US02079K1079) Cash Dividend USD 0.21 per Share (Ordinary Dividend),Dividend,GOOG,-,-,-,42.0,-,42.0
Transaction History,Data,2025-12-15,vpk2,GOOG(US02079K1079) Cash Dividend USD 0.21 per Share - US Tax,Foreign Tax Withholding,GOOG,-,-,-,-12.6,-,-12.6
Transaction History,Data,2025-12-11,vpk2,MSFT(US5949181045) Cash Dividend USD 0.91 per Share (Ordinary Dividend),Dividend,MSFT,-,-,-,273.0,-,273.0
Transaction History,Data,2025-12-11,vpk2,MSFT(US5949181045) Cash Dividend USD 0.91 per Share - US Tax,Foreign Tax Withholding,MSFT,-,-,-,-81.9,-,-81.9
Transaction History,Data,2025-12-04,vpk2,ALPHABET INC-CL C,Buy,GOOG,100.0,316.9,USD,-31690.0,-1.0,-31691.0
Transaction History,Data,2025-12-04,vpk2,ALPHABET INC-CL C,Buy,GOOG,73.0,316.8,USD,-23126.4,-1.0,-23127.4
Transaction History,Data,2025-12-04,vpk2,ALPHABET INC-CL C,Buy,GOOG,27.0,316.8,USD,-8553.6,-,-8553.6
Transaction History,Data,2025-12-03,vpk2,USD Credit Interest for Nov-2025,Credit Interest,-,-,-,-,557.83,-,557.83
Transaction History,Data,2025-12-03,vpk2,FISERV INC,Buy,FISV,80.0,65.75,USD,-5260.0,-1.0,-5261.0
Transaction History,Data,2025-12-03,vpk2,FISERV INC,Buy,FISV,520.0,65.75,USD,-34190.0,-2.0,-34192.0
Transaction History,Data,2025-12-03,vpk2,FISERV INC,Buy,FISV,17.0,65.75,USD,-1117.75,-0.085,-1117.835
Transaction History,Data,2025-12-03,vpk2,FISERV INC,Buy,FISV,83.0,65.75,USD,-5457.25,-0.415,-5457.665
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,1000.0,16.88,USD,-16880.0,-5.0,-16885.0
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,1000.0,16.86,USD,-16860.0,-5.0,-16865.0
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,100.0,16.855,USD,-1685.5,-1.0,-1686.5
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,500.0,16.855,USD,-8427.5,-2.0,-8429.5
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,50.0,16.86,USD,-843.0,-0.25,-843.25
Transaction History,Data,2025-12-01,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,350.0,16.855,USD,-5899.25,-1.75,-5901.0
Transaction History,Data,2025-11-28,vpk2,Electronic Fund Transfer,Deposit,-,-,-,-,150000.0,-,150000.0
Transaction History,Data,2025-11-28,vpk2,INTEL CORP,Sell,INTC,-2000.0,39.79,USD,79580.0,-10.376,79569.624
Transaction History,Data,2025-11-26,vpk2,IONQ INC,Buy,IONQ,78.0,46.67,USD,-3640.26,-1.001716,-3641.2617160000004
Transaction History,Data,2025-11-26,vpk2,IONQ INC,Buy,IONQ,422.0,46.665,USD,-19692.63,-1.509284,-19694.139284
Transaction History,Data,2025-11-25,vpk2,MICROSOFT CORP,Buy,MSFT,100.0,471.3175,USD,-47131.75,-1.0022,-47132.7522
Transaction History,Data,2025-11-24,vpk2,OSCAR HEALTH INC - CLASS A,Sell,OSCR,-900.0,16.095,USD,14485.5,-4.6692,14480.8308
Transaction History,Data,2025-11-24,vpk2,OSCAR HEALTH INC - CLASS A,Sell,OSCR,-200.0,16.095,USD,3219.0,-1.0376,3217.9624
Transaction History,Data,2025-11-24,vpk2,OSCAR HEALTH INC - CLASS A,Sell,OSCR,-100.0,16.095,USD,1609.5,-0.5188,1608.9812
Transaction History,Data,2025-11-24,vpk2,OSCAR HEALTH INC - CLASS A,Sell,OSCR,-2800.0,16.095,USD,45066.0,-14.5264,45051.4736
Transaction History,Data,2025-11-24,vpk2,ALPHABET INC-CL A,Sell,GOOGL,-200.0,317.27,USD,63454.0,-1.0376,63452.9624
Transaction History,Data,2025-11-17,vpk2,ALPHABET INC-CL A,Buy,GOOGL,107.0,291.1323,USD,-31151.1561,-1.002354,-31152.158454
Transaction History,Data,2025-11-17,vpk2,ALPHABET INC-CL A,Buy,GOOGL,93.0,291.1336,USD,-27075.4248,-0.002046,-27075.426846000002
Transaction History,Data,2025-11-17,vpk2,INTEL CORP,Buy,INTC,981.0,35.26,USD,-34590.06,-4.926582,-34594.986582
Transaction History,Data,2025-11-17,vpk2,INTEL CORP,Buy,INTC,19.0,35.26,USD,-669.94,-0.095418,-670.035418
Transaction History,Data,2025-11-17,vpk2,INTEL CORP,Buy,INTC,1000.0,35.25,USD,-35250.0,-5.022,-35255.022
Transaction History,Data,2025-11-14,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,300.0,48.26,USD,-14478.0,-1.5066,-14479.5066
Transaction History,Data,2025-11-14,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,200.0,48.26,USD,-9652.0,-1.0044,-9653.0044
Transaction History,Data,2025-11-12,vpk2,CANCEL WITHHOLDING ON Credit Interest for Oct-2025,Foreign Tax Withholding,-,-,-,-,236.46,-,236.46
Transaction History,Data,2025-11-12,vpk2,CANCEL WITHHOLDING ON Credit Interest for Aug-2025,Foreign Tax Withholding,-,-,-,-,9.58,-,9.58
Transaction History,Data,2025-11-12,vpk2,CANCEL WITHHOLDING ON Credit Interest for Sep-2025,Foreign Tax Withholding,-,-,-,-,133.42,-,133.42
Transaction History,Data,2025-11-12,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,100.0,50.2286,USD,-5022.86,-1.0022,-5023.8622
Transaction History,Data,2025-11-12,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,100.0,50.225,USD,-5022.5,-0.0022,-5022.5022
Transaction History,Data,2025-11-12,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,100.0,50.23,USD,-5023.0,-0.5022,-5023.5022
Transaction History,Data,2025-11-12,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,100.0,50.228,USD,-5022.8,-0.5022,-5023.3022
Transaction History,Data,2025-11-12,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,2000.0,15.115,USD,-30230.0,-10.044,-30240.044
Transaction History,Data,2025-11-12,vpk2,NOVO-NORDISK A/S-SPONS ADR,Buy,NVO,500.0,50.28,USD,-25140.0,-2.511,-25142.511
Transaction History,Data,2025-11-12,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,400.0,15.12,USD,-6048.0,-2.0088,-6050.0088
Transaction History,Data,2025-11-12,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,1.0,15.12,USD,-15.12,-0.005022,-15.125022
Transaction History,Data,2025-11-12,vpk2,GLOBALFOUNDRIES INC,Sell,GFS,-850.0,36.4,USD,30940.0,-4.1598,30935.8402
Transaction History,Data,2025-11-12,vpk2,OSCAR HEALTH INC - CLASS A,Buy,OSCR,1599.0,15.12,USD,-24176.88,-8.030178,-24184.910178000002
Transaction History,Data,2025-11-12,vpk2,GLOBALFOUNDRIES INC,Sell,GFS,-150.0,36.4,USD,5460.0,-1.0282,5458.9718
Transaction History,Data,2025-11-11,vpk2,ALPHABET INC-CL A,Sell,GOOGL,-284.0,288.75,USD,82005.0,-1.473392,82003.526608
Transaction History,Data,2025-11-11,vpk2,ALPHABET INC-CL A,Sell,GOOGL,-116.0,288.75,USD,33495.0,-0.601808,33494.398192
Transaction History,Data,2025-11-11,vpk2,PINTEREST INC- CLASS A,Sell,PINS,-10.0,27.165,USD,271.65,-1.00188,270.64811999999995
Transaction History,Data,2025-11-06,vpk2,Electronic Fund Transfer,Deposit,-,-,-,-,150000.0,-,150000.0
Transaction History,Data,2025-11-05,vpk2,Withholding @ 30% on Credit Interest for Oct-2025,Foreign Tax Withholding,-,-,-,-,-236.46,-,-236.46
Transaction History,Data,2025-11-05,vpk2,USD Credit Interest for Oct-2025,Credit Interest,-,-,-,-,788.19,-,788.19
Transaction History,Data,2025-11-04,vpk2,META PLATFORMS INC-CLASS A,Buy,META,50.0,636.0,USD,-31800.0,-1.0011,-31801.0011
Transaction History,Data,2025-10-31,vpk2,FIGMA INC-CL A,Buy,FIG,26.0,49.35,USD,-1283.1,-0.130572,-1283.230572
Transaction History,Data,2025-10-31,vpk2,FIGMA INC-CL A,Buy,FIG,96.0,49.35,USD,-4737.6,-0.372112,-4737.972112
Transaction History,Data,2025-10-31,vpk2,FIGMA INC-CL A,Buy,FIG,28.0,49.35,USD,-1381.8,-6.16E-4,-1381.800616
Transaction History,Data,2025-10-31,vpk2,FIGMA INC-CL A,Buy,FIG,10.0,49.35,USD,-493.5,-1.00022,-494.50022
Transaction History,Data,2025-10-31,vpk2,FIGMA INC-CL A,Buy,FIG,140.0,49.35,USD,-6909.0,-0.00308,-6909.00308
Transaction History,Data,2025-10-30,vpk2,MICROSOFT CORP,Buy,MSFT,17.0,523.05,USD,-8891.85,-3.74E-4,-8891.850374
Transaction History,Data,2025-10-30,vpk2,MICROSOFT CORP,Buy,MSFT,1.0,523.05,USD,-523.05,-2.2E-5,-523.0500219999999
Transaction History,Data,2025-10-30,vpk2,MICROSOFT CORP,Buy,MSFT,1.0,523.05,USD,-523.05,-2.2E-5,-523.0500219999999
