"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"12/05/2022","Buy","AMZN","AMAZON.COM INC","60","$91.2791","","-$5476.75"
"12/05/2022","Buy","BWA","BORG WARNER INC","25","$41.80","","-$1045.00"
"12/05/2022","Buy","BWA","BORG WARNER INC","100","$41.80","","-$4180.00"
"12/01/2022","NRA Tax Adj","INTC","INTEL CORP","","","","-$12.32"
"12/01/2022","Qualified Dividend","INTC","INTEL CORP","","","","$49.28"
"12/01/2022","Buy","QQQ","INVSC QQQ TRUST SRS 1 ETF","15","$293.3199","","-$4399.80"
"12/01/2022","Buy","F","FORD MOTOR CO","350","$14.1281","","-$4944.84"
"12/01/2022","Buy","ADBE","ADOBE INC","9","$343.65","","-$3092.85"
"12/01/2022","Buy","ADBE","ADOBE INC","11","$343.65","","-$3780.15"
"12/01/2022","Buy","CRM","SALESFORCE INC","40","$144.381","","-$5775.24"
"11/30/2022","Wire Received","","WIRED FUNDS RECEIVED","","","","$49960.00"
"11/29/2022","NRA Tax Adj","","SCHWAB1 INT 10/28-11/28","","","","-$2.11"
"11/29/2022","Credit Interest","","SCHWAB1 INT 10/28-11/28","","","","$14.08"
"11/28/2022","Buy","AMZN","AMAZON.COM INC","49","$94.33","","-$4622.17"
"11/28/2022","Buy","AMZN","AMAZON.COM INC","1","$94.33","","-$94.33"
"11/28/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","450","$11.5692","","-$5206.14"
"11/28/2022","Buy","CRM","SALESFORCE INC","30","$153.80","","-$4614.00"
"11/28/2022","Buy","BLDP","BALLARD POWER SYS F","900","$5.7098","","-$5138.82"
"11/15/2022","Sell","BLDP","BALLARD POWER SYS F","37","$6.55","$0.01","$242.34"
"11/15/2022","Sell","BLDP","BALLARD POWER SYS F","1,000","$6.55","$0.15","$6549.85"
"11/15/2022","Sell","BLDP","BALLARD POWER SYS F","613","$6.55","$0.09","$4015.06"
"11/11/2022","Sell","U","UNITY SOFTWARE INC","148","$31.52","$0.11","$4664.85"
"11/11/2022","Sell","U","UNITY SOFTWARE INC","17","$31.52","$0.01","$535.83"
"11/10/2022","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","0.0042","$277.16","","$1.16"
"11/10/2022","Sell","QQQ","INVSC QQQ TRUST SRS 1 ETF","11","$277.16","$0.07","$3048.69"
"11/10/2022","Sell","VOO","VANGUARD S&P ...500 ETF","9","$357.65","$0.07","$3218.78"
"11/10/2022","Sell","VOO","VANGUARD S&P ...500 ETF","1","$357.65","$0.01","$357.64"
"11/10/2022","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","100","$32.4237","$0.07","$3242.30"
"11/10/2022","Sell","AMZN","AMAZON.COM INC","33","$95.0021","$0.07","$3135.00"
"11/10/2022","Sell","GOOG","ALPHABET INC. CLASS C","40","$93.21","$0.09","$3728.31"
"11/10/2022","Sell","ADBE","ADOBE INC","20","$322.74","$0.15","$6454.65"
"11/02/2022","Buy","AMZN","AMAZON.COM INC","8","$94.87","","-$758.96"
"11/02/2022","Buy","AMZN","AMAZON.COM INC","25","$94.87","","-$2371.75"
"11/02/2022","Buy","ADBE","ADOBE INC","20","$311.14","","-$6222.80"
"11/02/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","100","$32.88","","-$3288.00"
"11/02/2022","Buy","GOOG","ALPHABET INC. CLASS C","39","$89.20","","-$3478.80"
"11/02/2022","Buy","GOOG","ALPHABET INC. CLASS C","1","$89.20","","-$89.20"
"11/01/2022","Reinvest Shares","QQQ","INVSC QQQ TRUST SRS 1 ETF","0.0042","$276.8244","","-$1.17"
"10/31/2022","Reinvest Dividend","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","$1.56"
"10/31/2022","NRA Tax Adj","QQQ","INVSC QQQ TRUST SRS 1 ETF","","","","-$0.39"
"10/28/2022","NRA Tax Adj","","SCHWAB1 INT 09/29-10/27","","","","-$1.83"
"10/28/2022","Credit Interest","","SCHWAB1 INT 09/29-10/27","","","","$12.20"
"10/26/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","630","$14.10","$0.20","$8882.80"
"10/25/2022","Sell","GOOG","ALPHABET INC. CLASS C","20","$104.00","$0.05","$2079.95"
"10/25/2022","Sell","ADBE","ADOBE INC","16","$320.75","$0.12","$5131.88"
"10/25/2022","Sell","ADBE","ADOBE INC","1","$320.76","$0.01","$320.75"
"10/24/2022","Buy","U","UNITY SOFTWARE INC","18","$28.48","","-$512.64"
"10/24/2022","Buy","U","UNITY SOFTWARE INC","2","$28.48","","-$56.96"
"10/24/2022","Buy","U","UNITY SOFTWARE INC","80","$28.48","","-$2278.40"
"10/24/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","250","$12.28","","-$3070.00"
"10/24/2022","Buy","BLDP","BALLARD POWER SYS F","400","$5.4194","","-$2167.76"
"10/20/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","130","$12.3699","","-$1608.09"
"10/20/2022","Buy","TSLA","TESLA INC","30","$205.58","","-$6167.40"
"10/07/2022","Buy","VOO","VANGUARD S&P ...500 ETF","8","$334.20","","-$2673.60"
"10/07/2022","Buy","QQQ","INVSC QQQ TRUST SRS 1 ETF","8","$270.00","","-$2160.00"
"10/07/2022","Buy","BLDP","BALLARD POWER SYS F","40","$5.985","","-$239.40"
"10/07/2022","Buy","BLDP","BALLARD POWER SYS F","100","$5.985","","-$598.50"
"10/07/2022","Buy","BLDP","BALLARD POWER SYS F","100","$5.985","","-$598.50"
"10/07/2022","Buy","BLDP","BALLARD POWER SYS F","10","$5.985","","-$59.85"
"10/07/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","250","$14.1478","","-$3536.95"
"10/05/2022","Buy","BLDP","BALLARD POWER SYS F","1,000","$6.467","","-$6467.00"
"10/04/2022 as of 10/03/2022","NRA Tax Adj","VOO","VANGUARD S&P ...500 ETF","","","","-$0.74"
"10/04/2022 as of 10/03/2022","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$2.94"
"10/04/2022","Sell","SHOP","SHOPIFY INC FCLASS A","100","$31.57","$0.07","$3156.93"
"10/04/2022","Sell","SHOP","SHOPIFY INC FCLASS A","50","$31.57","$0.04","$1578.46"
"10/04/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$16.435","$0.04","$1643.46"
"10/03/2022","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.63"
"10/03/2022","Cash Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$2.52"
"09/29/2022","NRA Tax Adj","","SCHWAB1 INT 08/30-09/28","","","","-$1.86"
"09/29/2022","Credit Interest","","SCHWAB1 INT 08/30-09/28","","","","$12.46"
"09/29/2022","NRA Tax Adj","NVDA","NVIDIA CORP","","","","-$0.05"
"09/29/2022","Qualified Dividend","NVDA","NVIDIA CORP","","","","$0.20"
"09/23/2022","Buy","GOOG","ALPHABET INC. CLASS C","20","$99.00","","-$1980.00"
"09/23/2022","Buy","HYDR","GLOBAL X HYDROGEN ETF","150","$11.43","","-$1714.50"
"09/22/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$15.15","","-$1515.00"
"09/22/2022","Buy","U","UNITY SOFTWARE INC","40","$33.55","","-$1342.00"
"09/22/2022","Buy","INTC","INTEL CORP","80","$28.24","","-$2259.20"
"09/22/2022","Buy","SHOP","SHOPIFY INC FCLASS A","150","$28.73","","-$4309.50"
"09/16/2022","Buy","ADBE","ADOBE INC","16","$295.20","","-$4723.20"
"09/16/2022","Buy","ADBE","ADOBE INC","1","$295.20","","-$295.20"
"09/09/2022","Sell","NVDA","NVIDIA CORP","1","$144.27","","$144.27"
"09/09/2022","Sell","NVDA","NVIDIA CORP","4","$144.27","$0.01","$577.07"
"09/09/2022","Sell","BLDP","BALLARD POWER SYS F","100","$8.02","$0.02","$801.98"
"09/09/2022","Sell","OKTA","OKTA INC CLASS A","16","$64.27","$0.02","$1028.30"
"09/09/2022","Sell","OKTA","OKTA INC CLASS A","1","$64.27","","$64.27"
"09/09/2022","Sell","RBLX","ROBLOX CORP CLASS A","20","$44.6262","$0.02","$892.50"
"09/06/2022","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","29","$34.44","$0.02","$998.74"
"09/06/2022","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","1","$34.44","","$34.44"
"09/01/2022","Buy","OKTA","OKTA INC CLASS A","16","$59.45","","-$951.20"
"09/01/2022","Buy","OKTA","OKTA INC CLASS A","1","$59.45","","-$59.45"
"09/01/2022","NRA Tax Adj","INTC","INTEL CORP","","","","-$3.65"
"09/01/2022","Qualified Dividend","INTC","INTEL CORP","","","","$14.60"
"09/01/2022","Buy","QQQ","INVSC QQQ TRUST SRS 1 ETF","3","$293.96","","-$881.88"
"09/01/2022","Buy","NVDA","NVIDIA CORP","5","$134.24","","-$671.20"
"09/01/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","30","$30.99","","-$929.70"
"09/01/2022","Buy","RBLX","ROBLOX CORP CLASS A","19","$36.67","","-$696.73"
"09/01/2022","Buy","RBLX","ROBLOX CORP CLASS A","1","$36.67","","-$36.67"
"09/01/2022","Buy","U","UNITY SOFTWARE INC","25","$39.2352","","-$980.88"
"09/01/2022","Buy","BLDP","BALLARD POWER SYS F","100","$7.23","","-$723.00"
"09/01/2022","Buy","INTC","INTEL CORP","3","$31.27","","-$93.81"
"09/01/2022","Buy","INTC","INTEL CORP","12","$31.27","","-$375.24"
"08/30/2022","NRA Tax Adj","","SCHWAB1 INT 07/28-08/29","","","","-$1.98"
"08/30/2022","Credit Interest","","SCHWAB1 INT 07/28-08/29","","","","$13.24"
"08/25/2022 as of 08/24/2022","Stock Split","TSLA","TESLA INC","60","$297.0967","",""
"08/10/2022","Sell","FRSH","FRESHWORKS INC CLASS A","100","$16.05","$0.04","$1604.96"
"07/28/2022","NRA Tax Adj","","SCHWAB1 INT 06/29-07/27","","","","-$0.85"
"07/28/2022","Credit Interest","","SCHWAB1 INT 06/29-07/27","","","","$5.69"
"07/28/2022","Sell","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","30","$21.6335","$0.01","$649.00"
"07/28/2022","Sell","BLNK","BLINK CHARGING CO","50","$20.28","$0.02","$1013.98"
"07/28/2022","Sell","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","70","$21.60","$0.03","$1511.97"
"07/28/2022","Sell","BLDP","BALLARD POWER SYS F","520","$8.10","$0.10","$4211.90"
"07/28/2022","Sell","BLDP","BALLARD POWER SYS F","600","$8.00","$0.11","$4799.89"
"07/28/2022","Sell","BLNK","BLINK CHARGING CO","50","$19.90","$0.02","$994.98"
"07/21/2022","Sell","F","FORD MOTOR CO","150","$12.70","$0.04","$1904.96"
"07/21/2022","Sell","GOOGL","ALPHABET INC. CLASS A","20","$113.50","$0.05","$2269.95"
"07/21/2022","Sell","BWA","BORG WARNER INC","20","$35.71","$0.02","$714.18"
"07/21/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","42","$14.30","$0.01","$600.59"
"07/21/2022","Sell","U","UNITY SOFTWARE INC","25","$40.00","$0.02","$999.98"
"07/18/2022 as of 07/15/2022","Stock Split","GOOGL","ALPHABET INC. CLASS A","19","$111.7775","",""
"07/14/2022","Buy","GOOGL","ALPHABET INC. FORWARD SPLIT WITH STOCK SPLIT SHARES","1","$2180.00","","-$2180.00"
"07/14/2022","Buy","INTC","INTEL CORP","10","$36.48","","-$364.80"
"07/14/2022","Buy","BWA","BORG WARNER INC","2","$32.42","","-$64.84"
"07/14/2022","Buy","BWA","BORG WARNER INC","7","$32.42","","-$226.94"
"07/14/2022","Buy","BWA","BORG WARNER INC","11","$32.42","","-$356.62"
"07/14/2022","Buy","U","UNITY SOFTWARE INC","5","$31.92","","-$159.60"
"07/14/2022","Buy","U","UNITY SOFTWARE INC","10","$31.92","","-$319.20"
"07/14/2022","Buy","F","FORD MOTOR CO","50","$11.18","","-$559.00"
"07/12/2022","Sell","AAL","AMERICAN AIRLS GROUP","34","$14.65","$0.01","$498.09"
"07/12/2022","Sell","AAL","AMERICAN AIRLS GROUP","1","$14.65","","$14.65"
"07/11/2022","Buy","AAL","AMERICAN AIRLS GROUP","35","$13.34","","-$466.90"
"07/11/2022","Buy","U","UNITY SOFTWARE INC","10","$41.50","","-$415.00"
"07/11/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","42","$12.065","","-$506.73"
"07/05/2022","NRA Tax Adj","VOO","VANGUARD S&P ...500 ETF","","","","-$0.72"
"07/05/2022","Cash Dividend","VOO","VANGUARD S&P ...500 ETF","","","","$2.86"
"06/29/2022","NRA Tax Adj","","SCHWAB1 INT 05/27-06/28","","","","-$0.18"
"06/29/2022","Credit Interest","","SCHWAB1 INT 05/27-06/28","","","","$1.25"
"06/28/2022","NRA Tax Adj","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","-$0.56"
"06/28/2022","Cash Dividend","VOOG","VANGUARD S&P ...500 GROWTH ETF","","","","$2.23"
"06/23/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","49","$14.87","$0.02","$728.61"
"06/23/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","21","$14.87","$0.01","$312.26"
"06/23/2022","Sell","U","UNITY SOFTWARE INC","7","$43.36","$0.01","$303.51"
"06/23/2022","Sell","U","UNITY SOFTWARE INC","23","$43.36","$0.02","$997.26"
"06/17/2022","Sell","SGEN","SEAGEN INC","9","$171.50","$0.04","$1543.46"
"06/17/2022","Sell","SGEN","SEAGEN INC","1","$171.50","","$171.50"
"06/15/2022","NRA Tax Adj","BWA","BORG WARNER INC","","","","-$1.70"
"06/15/2022","Qualified Dividend","BWA","BORG WARNER INC","","","","$6.80"
"06/15/2022","NRA Tax Adj","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","","","","-$3.51"
"06/15/2022","Cash Dividend","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","","","","$14.03"
"06/13/2022","Buy","BLNK","BLINK CHARGING CO","40","$14.23","","-$569.20"
"06/13/2022","Buy","F","FORD MOTOR CO","50","$11.8358","","-$591.79"
"06/13/2022","Buy","U","UNITY SOFTWARE INC","12","$34.09","","-$409.08"
"06/13/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","35","$12.1201","","-$424.20"
"06/10/2022","Buy","INTC","INTEL CORP","10","$39.30","","-$393.00"
"06/10/2022","Buy","F","FORD MOTOR CO","50","$12.817","","-$640.85"
"06/10/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","35","$14.659","","-$513.07"
"06/10/2022","Buy","BLNK","BLINK CHARGING CO","25","$15.7892","","-$394.73"
"06/10/2022","Buy","U","UNITY SOFTWARE INC","18","$37.299","","-$671.38"
"06/10/2022","Buy","FRSH","FRESHWORKS INC CLASS A","50","$12.2825","","-$614.13"
"06/02/2022 as of 05/13/2022","Misc Cash Entry","","Sec Fee Adjustment","","","","$0.03"
"06/02/2022","Sell","BWA","BORG WARNER INC","35","$40.25","$0.03","$1408.72"
"06/02/2022","Sell","BWA","BORG WARNER INC","5","$40.25","","$201.25"
"06/01/2022","NRA Tax Adj","INTC","INTEL CORP","","","","-$1.83"
"06/01/2022","Qualified Dividend","INTC","INTEL CORP","","","","$7.30"
"05/27/2022","NRA Tax Adj","","SCHWAB1 INT 04/28-05/26","","","","-$0.03"
"05/27/2022","Credit Interest","","SCHWAB1 INT 04/28-05/26","","","","$0.22"
"05/27/2022","Sell","NVDA","NVIDIA CORP","5","$186.08","$0.02","$930.38"
"05/27/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$13.05","$0.03","$1304.97"
"05/20/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$10.495","","-$1049.50"
"05/19/2022","Sell","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","120","$30.00","$0.08","$3599.92"
"05/13/2022","Sell","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$10.44","$0.02","$1043.98"
"05/13/2022","Sell","U","UNITY SOFTWARE INC","30","$39.1501","$0.03","$1174.47"
"05/11/2022","Buy","U","UNITY SOFTWARE INC","30","$31.0776","","-$932.33"
"05/11/2022","Buy","CHPT","CHARGEPOINT HOLDINGS INCCLASS A","100","$9.00","","-$900.00"
"05/11/2022","Wire Received","","WIRED FUNDS RECEIVED","","","","$39960.00"
"05/09/2022","Buy","HYDR","GLOBAL X HYDROGEN ETF","7","$13.40","","-$93.80"
"05/09/2022","Buy","HYDR","GLOBAL X HYDROGEN ETF","23","$13.40","","-$308.20"
"05/09/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","100","$23.60","","-$2360.00"
"05/09/2022","Buy","VOO","VANGUARD S&P ...500 ETF","2","$368.70","","-$737.40"
"05/09/2022","Buy","BWA","BORG WARNER INC","30","$37.4383","","-$1123.15"
"05/09/2022","Buy","ICLN","ISHARES GLOBAL CLEAN ENERGY ETF","60","$17.575","","-$1054.50"
"05/09/2022","Buy","BTEC","PRINCIPAL HLTHCR INOVTR ETF IV","20","$28.981","","-$579.62"
"05/09/2022","Buy","NVDA","NVIDIA CORP","3","$174.25","","-$522.75"
"05/09/2022","Buy","NVDA","NVIDIA CORP","1","$174.25","","-$174.25"
"05/09/2022","Buy","BLDP","BALLARD POWER SYS F","1,000","$7.00","","-$7000.00"
"05/09/2022","Buy","TSLA","TESLA INC","2","$814.00","","-$1628.00"
"05/09/2022","Buy","TSLA","TESLA INC","8","$814.00","","-$6512.00"
"05/06/2022","Buy","TSLA","TESLA INC","20","$847.625","","-$16952.50"
"05/05/2022","Wire Received","","WIRED FUNDS RECEIVED","","","","$29960.00"
"05/04/2022","Buy","FRSH","FRESHWORKS INC CLASS A","20","$15.665","","-$313.30"
"04/28/2022","Buy","BLDP","BALLARD POWER SYS F","20","$8.2496","","-$164.99"
"04/28/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","5","$31.00","","-$155.00"
"04/22/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","5","$32.935","","-$164.68"
"04/18/2022","Buy","NVDA","NVIDIA CORP","1","$219.6812","","-$219.68"
"04/18/2022","Buy","RIVN","RIVIAN AUTOMOTIVE INC CLASS A","10","$38.1288","","-$381.29"
